,id,Name,Pos,Ht,Wt,Team
228,horfoal01,Al Horford,C-F,205.74,108.86,PHI
229,hortota01,Talen Horton-Tucker,G-F,193.04,106.14,LAL
230,houseda01,Danuel House,G,198.12,99.79,HOU
231,howardw01,Dwight Howard,C,208.28,120.2,LAL
232,howarwi01,William Howard,F,203.2,93.89,HOU
233,huertke01,Kevin Huerter,G,200.66,86.18,ATL
234,huntede01,De'Andre Hunter,F,203.2,102.06,ATL
235,hutchch01,Chandler Hutchison,G,198.12,95.25,CHI
236,ibakase01,Serge Ibaka,F-C,208.28,106.59,TOR
237,iguodan01,Andre Iguodala,G-F,198.12,97.52,MIA
238,ilyaser01,Ersan İlyasova,F,205.74,106.59,MIL
239,inglejo01,Joe Ingles,F-G,203.2,99.79,UTA
240,ingrabr01,Brandon Ingram,F,203.2,86.18,NOP
241,irvinky01,Kyrie Irving,G,187.96,88.45,BRK
242,isaacjo01,Jonathan Isaac,F,210.82,104.33,ORL
243,iwundwe01,Wesley Iwundu,F,198.12,88.45,ORL
244,jacksfr01,Frank Jackson,G,190.5,92.99,NOP
245,jacksja02,Jaren Jackson,F,210.82,109.77,MEM
246,jacksjo02,Josh Jackson,F-G,203.2,93.89,MEM
247,jacksju01,Justin Jackson,G-F,203.2,99.79,DAL
248,jacksre01,Reggie Jackson,G,187.96,94.35,LAC/DET
249,jamesju01,Justin James,G,200.66,86.18,SAC
250,jamesle01,LeBron James,F-G,205.74,113.4,LAL
251,jeffeam01,Amile Jefferson,F,205.74,100.7,ORL
252,jeffrda01,DaQuan Jeffries,G-F,195.58,104.33,SAC
253,jeromty01,Ty Jerome,G,195.58,88.45,PHO
254,johnsal02,Alize Johnson,F,200.66,96.16,IND
255,johnsbj01,B.J. Johnson,G,200.66,90.72,ORL
256,johnsca02,Cameron Johnson,F,203.2,95.25,PHO
257,johnsja01,James Johnson,F,200.66,108.86,MIN/MIA
258,johnske04,Keldon Johnson,G,195.58,99.79,SAS
259,johnsst04,Stanley Johnson,F,198.12,109.77,TOR
260,johnsty01,Tyler Johnson,G,190.5,84.37,BRK/PHO
261,jokicni01,Nikola Jokić,C-F,210.82,128.82,DEN
262,jonesda03,Damian Jones,F-C,210.82,111.13,ATL
263,jonesde02,Derrick Jones,F,195.58,95.25,MIA
264,jonesty01,Tyus Jones,G,182.88,88.9,MEM
265,jordade01,DeAndre Jordan,C,210.82,120.2,BRK
266,josepco01,Cory Joseph,G,190.5,90.72,SAC
267,kabenmf01,Mfiondu Kabengele,F,205.74,113.4,LAC
268,kaminfr01,Frank Kaminsky,F-C,213.36,108.86,PHO
269,kanteen01,Enes Kanter,C,208.28,113.4,BOS
270,kennalu01,Luke Kennard,G,195.58,93.44,DET
271,kiddgmi01,Michael Kidd-Gilchrist,F,198.12,105.23,CHO/DAL
272,kiddst01,Stanton Kidd,F,198.12,97.52,UTA
273,kinglo02,Louis King,F,200.66,92.99,DET
274,klebima01,Maxi Kleber,F,208.28,108.86,DAL
275,knighbr03,Brandon Knight,G,187.96,82.55,DET/CLE
276,knoxke01,Kevin Knox,F,200.66,97.52,NYK
277,konchjo01,John Konchar,G,195.58,95.25,MEM
278,korkmfu01,Furkan Korkmaz,G,200.66,91.63,PHI
279,kornelu01,Luke Kornet,F,218.44,113.4,CHI
280,korveky01,Kyle Korver,G-F,200.66,96.16,MIL
281,kurucro01,Rodions Kurucs,F,205.74,103.42,BRK
282,kuzmaky01,Kyle Kuzma,F,208.28,100.24,LAL
283,labissk01,Skal Labissière,F,208.28,106.59,POR
284,lambje01,Jeremy Lamb,G-F,195.58,81.65,IND
285,langfro01,Romeo Langford,G,193.04,97.98,BOS
286,lavinza01,Zach LaVine,G,195.58,90.72,CHI
287,lawvi01,Vic Law,F,200.66,90.72,ORL
288,laymaja01,Jake Layman,F,203.2,94.8,MIN
289,leaftj01,T.J. Leaf,F,208.28,100.7,IND
290,lecquja01,Jalen Lecque,G,193.04,83.91,PHO
291,leeco01,Courtney Lee,G,195.58,97.52,DAL
292,leeda03,Damion Lee,G,195.58,95.25,GSW
293,lenal01,Alex Len,C,213.36,113.4,SAC/ATL
294,leonaka01,Kawhi Leonard,F,200.66,102.06,LAC
295,leoname01,Meyers Leonard,C-F,213.36,117.93,MIA
296,leverca01,Caris LeVert,G-F,198.12,92.99,BRK
297,lillada01,Damian Lillard,G,187.96,88.45,POR
298,littlna01,Nassir Little,F,195.58,99.79,POR
299,looneke01,Kevon Looney,F-C,205.74,100.7,GSW
300,lopezbr01,Brook Lopez,C,213.36,127.91,MIL
301,lopezro01,Robin Lopez,C,213.36,127.46,MIL
302,loveke01,Kevin Love,F,203.2,113.85,CLE
303,lowryky01,Kyle Lowry,G,182.88,88.9,TOR
304,luwawti01,Timothé Luwawu-Cabarrot,F,200.66,99.79,BRK
305,lylestr01,Trey Lyles,F,205.74,106.14,SAS
306,maconda01,Daryl Macon,G,187.96,83.91,MIA
307,macurjp01,J.P. Macura,G,195.58,92.08,CLE
308,magetjo01,Josh Magette,G,185.42,72.57,ORL
309,mahinia01,Ian Mahinmi,C,210.82,118.84,WAS
310,makerth01,Thon Maker,F-C,213.36,100.24,DET
311,mannte01,Terance Mann,G-F,195.58,97.52,LAC
312,marjabo01,Boban Marjanović,C,220.98,131.54,DAL
313,markkla01,Lauri Markkanen,F-C,213.36,108.86,CHI
314,martica02,Caleb Martin,F,195.58,92.99,CHO
315,martico01,Cody Martin,G-F,195.58,92.99,CHO
316,martije02,Jeremiah Martin,G,190.5,83.91,BRK
317,martike03,Kelan Martin,F,195.58,104.33,MIN
318,masonfr01,Frank Mason,G,180.34,86.18,MIL
319,mathega01,Garrison Mathews,G,195.58,97.52,WAS
320,matthwe02,Wesley Matthews,G,193.04,99.79,MIL
321,mbahalu01,Luc Mbah a Moute,F,203.2,104.33,HOU
322,mccawpa01,Patrick McCaw,G,200.66,82.1,TOR
323,mccolcj01,CJ McCollum,G,190.5,86.18,POR
324,mccontj01,T.J. McConnell,G,185.42,86.18,IND
325,mcdanja01,Jalen McDaniels,F,205.74,92.99,CHO
326,mcderdo01,Doug McDermott,F,200.66,102.06,IND
327,mcgeeja01,JaVale McGee,C,213.36,122.47,LAL
328,mcgruro01,Rodney McGruder,G,193.04,92.99,LAC
329,mckinal01,Alfonzo McKinnie,F,200.66,97.52,CLE
330,mclaujo01,Jordan McLaughlin,G,180.34,83.91,MIN
331,mclembe01,Ben McLemore,G,190.5,88.45,HOU
332,mcraejo01,Jordan McRae,G,195.58,81.19,DET/WASDEN
333,mellini01,Nicolò Melli,F,205.74,107.05,NOP
